n,beta,Itinerary_String
21,1.9980304506601,"[0, 10, 19, 20]"
21,1.9992655737644,"[0, 11, 12, 13]"
21,1.9993885891465,"[0, 11, 12, 14]"
21,1.9994500455662,"[0, 11, 12, 15]"
21,1.9994807633179,"[0, 11, 12, 16]"
21,1.9994961211037,"[0, 11, 12, 17]"
21,1.9995038005736,"[0, 11, 12, 18]"
21,1.9995076408997,"[0, 11, 12, 19]"
21,1.9995095614396,"[0, 11, 12, 20]"
21,1.9991424818168,"[0, 11, 13, 14]"
21,1.999204120327,"[0, 11, 13, 15]"
21,1.9992349328124,"[0, 11, 13, 16]"
21,1.9992503398366,"[0, 11, 13, 17]"
21,1.9992580448694,"[0, 11, 13, 18]"
21,1.9992618984511,"[0, 11, 13, 19]"
21,1.9992638258566,"[0, 11, 13, 20]"
21,1.9990808504758,"[0, 11, 14, 15]"
21,1.9991117124866,"[0, 11, 14, 16]"
21,1.9991271452155,"[0, 11, 14, 17]"
21,1.999134863576,"[0, 11, 14, 18]"
21,1.9991387240605,"[0, 11, 14, 19]"
21,1.9991406550373,"[0, 11, 14, 20]"
21,1.9990500044291,"[0, 11, 15, 16]"
21,1.9990654505277,"[0, 11, 15, 17]"
21,1.9990731758117,"[0, 11, 15, 18]"
21,1.999077039878,"[0, 11, 15, 19]"
21,1.9990789727059,"[0, 11, 15, 20]"
21,1.9990345696594,"[0, 11, 16, 17]"
21,1.9990422985313,"[0, 11, 16, 18]"
21,1.9990461644516,"[0, 11, 16, 19]"
21,1.9990480982367,"[0, 11, 16, 20]"
21,1.9990268473522,"[0, 11, 17, 18]"
21,1.9990307142306,"[0, 11, 17, 19]"
21,1.9990326485099,"[0, 11, 17, 20]"
21,1.9990229839973,"[0, 11, 18, 19]"
21,1.9990249185313,"[0, 11, 18, 20]"
21,1.9990210512897,"[0, 11, 19, 20]"
21,1.9996339409437,"[0, 12, 13, 14]"
21,1.9996952315183,"[0, 12, 13, 15]"
21,1.9997258626806,"[0, 12, 13, 16]"
21,1.9997411753145,"[0, 12, 13, 17]"
21,1.9997488312732,"[0, 12, 13, 18]"
21,1.9997526593741,"[0, 12, 13, 19]"
21,1.9997545735659,"[0, 12, 13, 20]"
21,1.9995726276591,"[0, 12, 14, 15]"
21,1.9996033077287,"[0, 12, 14, 16]"
21,1.9996186457414,"[0, 12, 14, 17]"
21,1.999626314856,"[0, 12, 14, 18]"
21,1.9996301497692,"[0, 12, 14, 19]"
21,1.9996320674848,"[0, 12, 14, 20]"
21,1.9995419484506,"[0, 12, 15, 16]"
21,1.9995572996604,"[0, 12, 15, 17]"
21,1.9995649756077,"[0, 12, 15, 18]"
21,1.999568814055,"[0, 12, 15, 19]"
21,1.9995707335966,"[0, 12, 15, 20]"
21,1.99952660097,"[0, 12, 16, 17]"
21,1.9995342804573,"[0, 12, 16, 18]"
21,1.9995381207335,"[0, 12, 16, 19]"
21,1.9995400412191,"[0, 12, 16, 20]"
21,1.9995189242328,"[0, 12, 17, 18]"
21,1.9995227654539,"[0, 12, 17, 19]"
21,1.9995246864268,"[0, 12, 17, 20]"
21,1.9995150846234,"[0, 12, 18, 19]"
21,1.9995170058475,"[0, 12, 18, 20]"
21,1.9995131642682,"[0, 12, 19, 20]"
21,1.9998176327565,"[0, 13, 14, 15]"
21,1.9998482189306,"[0, 13, 14, 16]"
21,1.9998635081481,"[0, 13, 14, 17]"
21,1.999871151934,"[0, 13, 14, 18]"
21,1.9998749737152,"[0, 13, 14, 19]"
21,1.9998768846303,"[0, 13, 14, 20]"
21,1.9997870399886,"[0, 13, 15, 16]"
21,1.9998023423137,"[0, 13, 15, 17]"
21,1.9998099928853,"[0, 13, 15, 18]"
21,1.9998138181758,"[0, 13, 15, 19]"
21,1.9998157309039,"[0, 13, 15, 20]"
21,1.9997717376418,"[0, 13, 16, 17]"
21,1.9997793917285,"[0, 13, 16, 18]"
21,1.999783218835,"[0, 13, 16, 19]"
21,1.9997851325004,"[0, 13, 16, 20]"
21,1.9997640844229,"[0, 13, 17, 18]"
21,1.9997679124675,"[0, 13, 17, 19]"
21,1.9997698266165,"[0, 13, 17, 20]"
21,1.9997602570469,"[0, 13, 18, 19]"
21,1.9997621714453,"[0, 13, 18, 20]"
21,1.9997583430452,"[0, 13, 19, 20]"
21,1.9999093436863,"[0, 14, 15, 16]"
21,1.9999246207553,"[0, 14, 15, 17]"
21,1.9999322582355,"[0, 14, 15, 18]"
21,1.9999360767475,"[0, 14, 15, 19]"
21,1.9999379859698,"[0, 14, 15, 20]"
21,1.9998940647333,"[0, 14, 16, 17]"
21,1.9999017057158,"[0, 14, 16, 18]"
21,1.9999055260371,"[0, 14, 16, 19]"
21,1.9999074361931,"[0, 14, 16, 20]"
21,1.9998864236842,"[0, 14, 17, 18]"
21,1.99989024494,"[0, 14, 17, 19]"
21,1.9998921555779,"[0, 14, 17, 20]"
21,1.9998826026286,"[0, 14, 18, 19]"
21,1.9998845135148,"[0, 14, 18, 20]"
21,1.9998806919047,"[0, 14, 19, 20]"
21,1.9999551623383,"[0, 15, 16, 17]"
21,1.9999627965529,"[0, 15, 16, 18]"
21,1.9999666133742,"[0, 15, 16, 19]"
21,1.999968521722,"[0, 15, 16, 20]"
21,1.9999475275915,"[0, 15, 17, 18]"
21,1.9999513453455,"[0, 15, 17, 19]"
21,1.9999532541742,"[0, 15, 17, 20]"
21,1.9999437098046,"[0, 15, 18, 19]"
21,1.9999456188811,"[0, 15, 18, 20]"
21,1.9999418007735,"[0, 15, 19, 20]"
21,1.9999780616826,"[0, 16, 17, 18]"
21,1.9999818776299,"[0, 16, 17, 19]"
21,1.9999837855263,"[0, 16, 17, 20]"
21,1.9999742455859,"[0, 16, 18, 19]"
21,1.9999761537298,"[0, 16, 18, 20]"
21,1.9999723374292,"[0, 16, 19, 20]"
21,1.999989508662,"[0, 17, 18, 19]"
21,1.9999914163254,"[0, 17, 18, 20]"
21,1.9999876009568,"[0, 17, 19, 20]"
21,1.9999952314283,"[0, 18, 19, 20]"
21,1.9248586649051,"[0, 4, 5, 9, 13, 17]"
21,1.8785585017196,"[0, 4, 6, 9, 13, 17]"
21,1.8826309019897,"[0, 4, 6, 10, 13, 17]"
21,1.8823118971513,"[0, 4, 6, 10, 14, 17]"
21,1.882337356577,"[0, 4, 6, 10, 14, 18]"
21,1.8485164968847,"[0, 4, 7, 9, 13, 17]"
21,1.85361306931,"[0, 4, 7, 10, 13, 17]"
21,1.8558513949131,"[0, 4, 7, 11, 14, 17]"
21,1.855664511539,"[0, 4, 7, 11, 15, 18]"
21,1.9477385402325,"[0, 5, 6, 7, 11, 16]"
21,1.9470040655803,"[0, 5, 6, 7, 12, 16]"
21,1.9470304141394,"[0, 5, 6, 7, 12, 17]"
21,1.9579228409314,"[0, 5, 6, 8, 11, 16]"
21,1.9572497318838,"[0, 5, 6, 8, 12, 16]"
21,1.9572732450502,"[0, 5, 6, 8, 12, 17]"
21,1.9569039181277,"[0, 5, 6, 8, 13, 16]"
21,1.9569275420153,"[0, 5, 6, 8, 13, 17]"
21,1.9569396105,"[0, 5, 6, 8, 13, 18]"
21,1.9628656695676,"[0, 5, 6, 9, 11, 16]"
21,1.9622216854141,"[0, 5, 6, 9, 12, 16]"
21,1.9622438937602,"[0, 5, 6, 9, 12, 17]"
21,1.9618917700775,"[0, 5, 6, 9, 13, 16]"
21,1.9619140773852,"[0, 5, 6, 9, 13, 17]"
21,1.9619254445235,"[0, 5, 6, 9, 13, 18]"
21,1.9617231131846,"[0, 5, 6, 9, 14, 16]"
21,1.9617454732157,"[0, 5, 6, 9, 14, 17]"
21,1.9617568681907,"[0, 5, 6, 9, 14, 18]"
21,1.9617626759029,"[0, 5, 6, 9, 14, 19]"
21,1.9653134036872,"[0, 5, 6, 10, 11, 16]"
21,1.9646840431409,"[0, 5, 6, 10, 12, 16]"
21,1.9647056095933,"[0, 5, 6, 10, 12, 17]"
21,1.9643620718126,"[0, 5, 6, 10, 13, 16]"
