n,beta,Itinerary_String
11,1.7853359102499,"[0, 3, 4, 5, 6, 8, 9, 10]"
11,1.7408565916071,"[0, 3, 4, 5, 7, 8, 9, 10]"
11,1.8142887816251,"[0, 3, 4, 6, 7, 8, 9, 10]"
11,1.6667567248056,"[0, 3, 5, 6, 7, 8, 9, 10]"
11,1.8999489426287,"[0, 4, 5, 6, 7, 8, 9, 10]"
11,1.4284227089161,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
12,1.9840049758281,"[0, 7]"
12,1.9924567261038,"[0, 8]"
12,1.9965299179799,"[0, 9]"
12,1.9985246697624,"[0, 10]"
12,1.9995104019783,"[0, 11]"
12,1.9193139082258,"[0, 4, 5, 8]"
12,1.9252823633075,"[0, 4, 5, 9]"
12,1.8711530779497,"[0, 4, 6, 8]"
12,1.8791539887397,"[0, 4, 6, 9]"
12,1.8392867552142,"[0, 4, 7, 8]"
12,1.8492804182509,"[0, 4, 7, 9]"
12,1.8543388629096,"[0, 4, 7, 10]"
12,1.9470357338479,"[0, 5, 6, 7]"
12,1.9572810971909,"[0, 5, 6, 8]"
12,1.9622527714851,"[0, 5, 6, 9]"
12,1.9647149426037,"[0, 5, 6, 10]"
12,1.9367676043824,"[0, 5, 7, 8]"
12,1.9424354881731,"[0, 5, 7, 9]"
12,1.9452566976548,"[0, 5, 7, 10]"
12,1.9466798575311,"[0, 5, 7, 11]"
12,1.9312569488942,"[0, 5, 8, 9]"
12,1.9343270661412,"[0, 5, 8, 10]"
12,1.9358812466202,"[0, 5, 8, 11]"
12,1.9283305376498,"[0, 5, 9, 10]"
12,1.9299680843714,"[0, 5, 9, 11]"
12,1.9753071867463,"[0, 6, 7, 8]"
12,1.9798309758829,"[0, 6, 7, 9]"
12,1.9820580779671,"[0, 6, 7, 10]"
12,1.9831657923533,"[0, 6, 7, 11]"
12,1.9707670913456,"[0, 6, 8, 9]"
12,1.9731451832293,"[0, 6, 8, 10]"
12,1.9743318893814,"[0, 6, 8, 11]"
12,1.9684178939719,"[0, 6, 9, 10]"
12,1.9696522952726,"[0, 6, 9, 11]"
12,1.9672101022977,"[0, 6, 10, 11]"
12,1.9883110749983,"[0, 7, 8, 9]"
12,1.990425074195,"[0, 7, 8, 10]"
12,1.991473001261,"[0, 7, 8, 11]"
12,1.9861897541139,"[0, 7, 9, 10]"
12,1.9872744448302,"[0, 7, 9, 11]"
12,1.9851104823797,"[0, 7, 10, 11]"
12,1.9945136828483,"[0, 8, 9, 10]"
12,1.9955316865082,"[0, 8, 9, 11]"
12,1.9934928630352,"[0, 8, 10, 11]"
12,1.9975325364325,"[0, 9, 10, 11]"
12,1.7887528747202,"[0, 3, 4, 5, 6, 9]"
12,1.7452431852175,"[0, 3, 4, 5, 7, 9]"
12,1.7542761376932,"[0, 3, 4, 5, 7, 10]"
12,1.7244864708433,"[0, 3, 4, 5, 8, 10]"
12,1.8173166787948,"[0, 3, 4, 6, 7, 9]"
12,1.8227235668652,"[0, 3, 4, 6, 7, 10]"
12,1.7977028752678,"[0, 3, 4, 6, 8, 9]"
12,1.8040294315153,"[0, 3, 4, 6, 8, 10]"
12,1.7961300587056,"[0, 3, 4, 6, 9, 11]"
12,1.8317935850841,"[0, 3, 4, 7, 8, 9]"
12,1.8367046263143,"[0, 3, 4, 7, 8, 10]"
12,1.8275574050897,"[0, 3, 4, 7, 9, 10]"
12,1.8303580952175,"[0, 3, 4, 7, 9, 11]"
12,1.8251843605762,"[0, 3, 4, 7, 10, 11]"
12,1.6725966534063,"[0, 3, 5, 6, 7, 9]"
12,1.6180339887499,"[0, 3, 5, 6, 8, 9]"
12,1.6416241604901,"[0, 3, 5, 6, 8, 10]"
12,1.6995696769796,"[0, 3, 5, 7, 8, 9]"
12,1.7112744505886,"[0, 3, 5, 7, 8, 10]"
12,1.6905657296367,"[0, 3, 5, 7, 9, 10]"
12,1.6981998559606,"[0, 3, 5, 7, 9, 11]"
12,1.7199367657169,"[0, 3, 5, 8, 10, 11]"
12,1.8952641366285,"[0, 4, 5, 6, 7, 8]"
12,1.9022468107584,"[0, 4, 5, 6, 7, 9]"
12,1.9057637673333,"[0, 4, 5, 6, 7, 10]"
12,1.8887159209242,"[0, 4, 5, 6, 8, 9]"
12,1.8926216631273,"[0, 4, 5, 6, 8, 10]"
12,1.8946290878747,"[0, 4, 5, 6, 8, 11]"
12,1.885139207234,"[0, 4, 5, 6, 9, 10]"
12,1.8872856652489,"[0, 4, 5, 6, 9, 11]"
12,1.9136129984391,"[0, 4, 5, 7, 8, 9]"
12,1.9168784609782,"[0, 4, 5, 7, 8, 10]"
12,1.9185445614539,"[0, 4, 5, 7, 8, 11]"
12,1.9105563574511,"[0, 4, 5, 7, 9, 10]"
12,1.9123158768687,"[0, 4, 5, 7, 9, 11]"
12,1.9089302377785,"[0, 4, 5, 7, 10, 11]"
12,1.9224521231522,"[0, 4, 5, 8, 9, 10]"
12,1.9240503133352,"[0, 4, 5, 8, 9, 11]"
12,1.9209581785785,"[0, 4, 5, 8, 10, 11]"
12,1.9268450649283,"[0, 4, 5, 9, 10, 11]"
12,1.8637964873262,"[0, 4, 6, 7, 8, 9]"
12,1.8683682679342,"[0, 4, 6, 7, 8, 10]"
12,1.8707354528511,"[0, 4, 6, 7, 8, 11]"
12,1.8597043327295,"[0, 4, 6, 7, 9, 10]"
12,1.8622665291226,"[0, 4, 6, 7, 9, 11]"
12,1.8574513195787,"[0, 4, 6, 7, 10, 11]"
12,1.8754830941939,"[0, 4, 6, 8, 9, 10]"
12,1.8777212858676,"[0, 4, 6, 8, 9, 11]"
12,1.8734855923191,"[0, 4, 6, 8, 10, 11]"
12,1.8813247586765,"[0, 4, 6, 9, 10, 11]"
12,1.8448093943152,"[0, 4, 7, 8, 9, 10]"
12,1.8476804995396,"[0, 4, 7, 8, 9, 11]"
12,1.8423209179614,"[0, 4, 7, 8, 10, 11]"
12,1.8520415613006,"[0, 4, 7, 9, 10, 11]"
12,1.9523686259593,"[0, 5, 6, 7, 8, 9]"
12,1.9550158835854,"[0, 5, 6, 7, 8, 10]"
12,1.9563464423769,"[0, 5, 6, 7, 8, 11]"
12,1.9497976742548,"[0, 5, 6, 7, 9, 10]"
12,1.951188217322,"[0, 5, 6, 7, 9, 11]"
12,1.9484614288936,"[0, 5, 6, 7, 10, 11]"
12,1.959840731137,"[0, 5, 6, 8, 9, 10]"
12,1.9611249784546,"[0, 5, 6, 8, 9, 11]"
12,1.9585948794994,"[0, 5, 6, 8, 10, 11]"
12,1.9635130575925,"[0, 5, 6, 9, 10, 11]"
12,1.9397202902287,"[0, 5, 7, 8, 9, 10]"
12,1.941212316361,"[0, 5, 7, 8, 9, 11]"
12,1.9383004146642,"[0, 5, 7, 8, 10, 11]"
12,1.9438953414107,"[0, 5, 7, 9, 10, 11]"
12,1.9328556548404,"[0, 5, 8, 9, 10, 11]"
12,1.9776133517268,"[0, 6, 7, 8, 9, 10]"
12,1.9787622141475,"[0, 6, 7, 8, 9, 11]"
12,1.9764795251407,"[0, 6, 7, 8, 10, 11]"
12,1.980960339904,"[0, 6, 7, 9, 10, 11]"
12,1.9719789533219,"[0, 6, 8, 9, 10, 11]"
12,1.9893782852773,"[0, 7, 8, 9, 10, 11]"
12,1.3388063182645,"[0, 2, 3, 4, 5, 6, 8, 10]"
12,1.1278384855616,"[0, 2, 3, 4, 6, 8, 10, 11]"
12,1.5920288879785,"[0, 2, 3, 5, 6, 7, 8, 10]"
12,1.557961328117,"[0, 2, 3, 5, 6, 7, 9, 10]"
12,1.6085361949781,"[0, 2, 3, 5, 6, 8, 9, 10]"
12,1.6022848795161,"[0, 2, 3, 5, 6, 8, 10, 11]"
12,1.5192065840789,"[0, 2, 3, 5, 7, 8, 9, 10]"
12,1.5542288691846,"[0, 2, 3, 5, 7, 9, 10, 11]"
12,1.7656059182903,"[0, 3, 4, 5, 6, 7, 8, 9]"
12,1.7734055710306,"[0, 3, 4, 5, 6, 7, 8, 10]"
12,1.7592546468931,"[0, 3, 4, 5, 6, 7, 9, 10]"
12,1.7639954627435,"[0, 3, 4, 5, 6, 7, 9, 11]"
12,1.7554990294574,"[0, 3, 4, 5, 6, 7, 10, 11]"
12,1.7834066049923,"[0, 3, 4, 5, 6, 8, 9, 10]"
12,1.7872266951313,"[0, 3, 4, 5, 6, 8, 9, 11]"
12,1.780314221383,"[0, 3, 4, 5, 6, 8, 10, 11]"
12,1.7380022106667,"[0, 3, 4, 5, 7, 8, 9, 10]"
12,1.7436213406468,"[0, 3, 4, 5, 7, 8, 9, 11]"
12,1.7336367629169,"[0, 3, 4, 5, 7, 8, 10, 11]"
12,1.7505028785178,"[0, 3, 4, 5, 7, 9, 10, 11]"
