orbit,Itinerary_String,roots
15,"[0, 3, 5, 6, 7, 9, 11, 12]","[1.67271999185526, 1.0732890810124822]"
15,"[0, 3, 5, 6, 8, 9, 10, 12]","[1.633310998077469, 1.1205242424263484]"
15,"[0, 3, 5, 6, 8, 9, 11, 12]","[1.6180339887498896, 1.2445225881954507]"
15,"[0, 3, 5, 6, 8, 9, 11, 13]","[1.6242055975796745, 1.160690400179185]"
15,"[0, 3, 5, 6, 8, 9, 12, 14]","[1.6180339887498898, 1.1986289446904572]"
15,"[0, 3, 5, 6, 8, 10, 11, 12]","[1.6416998095595845, 1.1017507180750483]"
15,"[0, 3, 5, 6, 8, 10, 12, 13]","[1.638655847620869, 1.1164503609014726]"
15,"[0, 3, 5, 7, 8, 9, 11, 12]","[1.6997106354322185, 1.063340724526946]"
15,"[0, 3, 5, 7, 9, 10, 11, 12]","[1.690704228151799, 1.0718178631032518]"
15,"[0, 3, 5, 7, 9, 10, 12, 13]","[1.6887530889717535, 1.0801428106140007]"
15,"[0, 4, 5, 6, 7, 8, 10, 11]","[1.8963058084552267, 1.0379905503457758]"
15,"[0, 4, 5, 6, 7, 8, 11, 12]","[1.8953663799291367, 1.0406830601971246]"
15,"[0, 4, 5, 6, 8, 9, 10, 11]","[1.8898072440125677, 1.041052106527593]"
15,"[0, 4, 5, 6, 8, 9, 11, 12]","[1.8888218855184633, 1.0441663517698614]"
15,"[0, 4, 5, 6, 8, 9, 12, 13]","[1.8882965189022967, 1.0475250398618383]"
15,"[0, 4, 5, 6, 8, 9, 13, 14]","[1.8880171295988133, 1.0510945866623855]"
15,"[0, 4, 5, 6, 9, 10, 11, 12]","[1.8852474687211869, 1.0480670976393962]"
15,"[0, 4, 5, 6, 9, 10, 12, 13]","[1.8847059243261057, 1.0519463153240256]"
15,"[0, 4, 5, 6, 9, 10, 13, 14]","[1.8844173373769133, 1.0560542407285731]"
15,"[0, 4, 6, 7, 8, 9, 10, 11]","[1.865068700393734, 1.0449941293901792]"
